"Isolation","Trait_A","Trait_B","Observed_NN","Percent_NN"
"0","0","0",0,0
"Pathogenic","Glucose_F","Glucose",0,1
"Pathogenic","Glucose_F","Growth at 25°C",0,0.91
"Pathogenic","Glucose_F","Growth at 37°C",0,0
"Pathogenic","Galactose_F","Glucose",0,1
"Pathogenic","Galactose_F","Growth at 25°C",0,0.779
"Pathogenic","Galactose_F","Growth at 37°C",0,0
"Pathogenic","Sucrose_F","Glucose",0,1
"Pathogenic","Sucrose_F","Growth at 25°C",0,0.777
"Pathogenic","Sucrose_F","Growth at 37°C",0,0
"Pathogenic","Maltose_F","Glucose",0,1
"Pathogenic","Maltose_F","Growth at 25°C",0,0.761
"Pathogenic","Maltose_F","Growth at 37°C",0,0
"Pathogenic","Lactose_F","Glucose",0,1
"Pathogenic","Lactose_F","Growth at 25°C",0,0.738
"Pathogenic","Lactose_F","Growth at 37°C",0,0
"Pathogenic","Raffinose_F","Glucose",0,1
"Pathogenic","Raffinose_F","Growth at 25°C",0,0.766
"Pathogenic","Raffinose_F","Growth at 37°C",0,0
"Pathogenic","Trehalose_F","Glucose",0,1
"Pathogenic","Trehalose_F","Growth at 25°C",0,0.77
"Pathogenic","Trehalose_F","Growth at 37°C",0,0
"Pathogenic","Glucose","Inulin",22,1
"Pathogenic","Glucose","Sucrose",14,1
"Pathogenic","Glucose","Raffinose",16,1
"Pathogenic","Glucose","Melibiose",19,1
"Pathogenic","Glucose","Galactose",6,1
"Pathogenic","Glucose","Lactose",19,1
"Pathogenic","Glucose","Trehalose",8,1
"Pathogenic","Glucose","Maltose",13,1
"Pathogenic","Glucose","Melezitose",15,1
"Pathogenic","Glucose","Methyl-?-D-glucoside",17,1
"Pathogenic","Glucose","Soluble Starch",18,1
"Pathogenic","Glucose","Cellobiose",8,1
"Pathogenic","Glucose","Salicin",8,1
"Pathogenic","Glucose","L-Sorbose",7,1
"Pathogenic","Glucose","L-Rhamnose",15,1
"Pathogenic","Glucose","D-Xylose",8,1
"Pathogenic","Glucose","L-Arabinose",12,1
"Pathogenic","Glucose","D-Arabinose",17,1
"Pathogenic","Glucose","D-Ribose",12,1
"Pathogenic","Glucose","Methanol",23,1
"Pathogenic","Glucose","Ethanol",4,1
"Pathogenic","Glucose","Glycerol",2,1
"Pathogenic","Glucose","Erythritol",13,1
"Pathogenic","Glucose","Ribitol",8,1
"Pathogenic","Glucose","Galactitol",19,1
"Pathogenic","Glucose","D-Mannitol",6,1
"Pathogenic","Glucose","D-Glucitol",3,1
"Pathogenic","Glucose","myo-Inositol",22,1
"Pathogenic","Glucose","DL-Lactate",13,1
"Pathogenic","Glucose","Succinate",2,1
"Pathogenic","Glucose","Citrate",6,1
"Pathogenic","Glucose","D-Gluconate",4,1
"Pathogenic","Glucose","D-Glucosamine",13,1
"Pathogenic","Glucose","Nitrate",22,1
"Pathogenic","Glucose","Vitamin-free",17,1
"Pathogenic","Glucose","2-Keto-D-gluconate",10,1
"Pathogenic","Glucose","Starch formation",23,1
"Pathogenic","Glucose","Growth at 19°C",0,1
"Pathogenic","Glucose","Growth at 25°C",0,1
"Pathogenic","Glucose","Growth at 30°C",3,1
"Pathogenic","Glucose","Growth at 37°C",0,1
"Pathogenic","Inulin","Growth at 25°C",0,0.756
"Pathogenic","Inulin","Growth at 37°C",0,0
"Pathogenic","Sucrose","Growth at 25°C",0,0.821
"Pathogenic","Sucrose","Growth at 37°C",0,0
"Pathogenic","Raffinose","Growth at 25°C",0,0.792
"Pathogenic","Raffinose","Growth at 37°C",0,0
"Pathogenic","Melibiose","Growth at 25°C",0,0.749
"Pathogenic","Melibiose","Growth at 37°C",0,0
"Pathogenic","Galactose","Growth at 25°C",0,0.865
